no,word,created_at,updated_at,use,example,part_of_speech,pronunciation,mean
5690,로봇,2024-01-04 19:04:00,,Y,"[[""엄마가 아이에게 로봇 장난감을 사 주었다."",""공장의 로봇은 여러 명이 처리할 일을 빠른 시간 내에 혼자서 처리할 수 있다.""],[""아이는 엄마의 조종에 따라 움직이는 로봇이 아니다."",""민준은 스스로는 아무 것도 하지 못해서 마치 건전지가 빠진 로봇과 같다.""]]",명사,[로봇],"[""사람의 전체 모습이나 몸의 한 부위와 비슷하게 만들어서 사람이 하는 행동이나 작업 등을 할 수 있도록 만든 기계."",""(비유적으로) 줏대 없이 남이 시키는 대로 움직이는 사람.""]"
5691,컴퓨터,2024-01-04 19:04:00,,Y,"[[""나는 일어나자마자 컴퓨터를 켜고 이메일을 확인했다."",""승규는 방학을 한 후로 내내 컴퓨터 앞에 앉아서 게임만 했다.""]]",명사,[컴퓨터],"[""전자 회로를 이용하여 문서, 사진, 영상 등의 대량의 데이터를 빠르고 정확하게 처리하는 기계.""]"
5692,1월,2024-01-04 19:04:00,,Y,,,,
5693,2월,2024-01-04 19:04:00,,Y,,,,
5694,3월,2024-01-04 19:05:00,,Y,,,,
5695,4월,2024-01-04 19:05:00,,Y,,,,
5696,5월,2024-01-04 19:05:00,,Y,,,,
5697,6월,2024-01-04 19:05:00,,Y,,,,
5682,사회,2024-01-04 19:04:00,2024-01-05 10:48:00,Y,"[[""가부장제 사회."",""고기가 물을 떠나 살 수 없듯이 인간은 사회를 떠나 살 수 없다."",""인간은 모든 사람이 행복하게 잘 살 수 있는 평등한 사회를 꿈꿔 왔다.""]]",명사,[사회/사훼],"[""가족, 마을, 회사, 국가 등 공동생활을 하는 사람들의 모든 집단.""]"
5683,과학,2024-01-04 19:04:00,,Y,"[[""과학은 물리학과 생물학 등의 여러 분야로 나눌 수 있다."",""과학과 기술의 발전은 인간 사회에 물질적인 풍요를 가져왔다.""],[""인간의 행동을 연구하는 과학에는 심리학, 사회학, 인류학 등이 있다."",""사회학, 정치학, 경제학 등은 사회 현상을 지배하는 법칙에 관해 연구하는 과학이다.""]]",명사,[과학],"[""자연에서 일어나는 현상을 연구하는 학문."",""자연과 인간 사회의 진리나 법칙을 알아내고자 하는 학문.""]"
5698,7월,2024-01-04 19:05:00,,Y,,,,
5699,8월,2024-01-04 19:05:00,,Y,,,,
5700,9월,2024-01-04 19:05:00,,Y,,,,
5701,10월,2024-01-04 19:05:00,,Y,,,,
5702,11월,2024-01-04 19:05:00,,Y,,,,
5703,12월,2024-01-04 19:05:00,,Y,,,,
5704,11,2024-01-04 19:05:00,,Y,,,,
